name,address,price,desc,award,url
HaiSous,"1800 S. Carpenter Ave., Chicago, 60608, USA",40-65 USD,"
This passion project of Chef Thai Dang and wife, Danielle, offers refined Vietnamese cuisine in a plum setting. The menu, divided into five sections, is filled with wonderful, lesser-known (and possibly unexpected) dishes you won’t want to miss. The restaurant offers many seating options: an open kitchen fringed with comfy seats; a bar area for cocktails and perhaps an order of those famous chicken wings; as well as two dining rooms, one with communal seating. Don’t leave without sampling the goi vit (duck salad), followed by ché, a Vietnamese rice pudding with coconut, sesame, and toasted peanuts.For street food, specialty coffee and quenching cocktails, visit their next-door coffee shop, Cà Phê Đá.
","Bib Gourmand: good quality, good value cooking",https://www.haisous.com/
Pho Tai,"13 rue Philibert-Lucot, Paris, 75013, France",30 EUR,"
In a quiet street in the Asian quarter, this small Vietnamese restaurant stands out from the crowd. All credit to the chef, Mr Te, who arrived in France in 1968 and is a magnificent ambassador for Vietnamese cuisine. Dumplings, crispy chicken with fresh ginger, bo bun and phô soups: everything is full of flavour.
","Bib Gourmand: good quality, good value cooking",None
Hanoi Bike Shop,"8 Ruthven Lane, Glasgow City, G12 9BG, United Kingdom",35 GBP,"
Old bike parts sit alongside Asian furnishings at this relaxed, characterful bistro; ask to sit in the lighter upstairs room with its fine array of lanterns. Unfussy Vietnamese dishes include street food like rice paper summer rolls. The charming, knowledgeable team are keen to offer recommendations.
",None,https://www.hanoibikeshop.co.uk/
Brass Spoon (Wan Chai),"Shop B, GF, 1-3 Moon Street, Hong Kong",220 HKD,"
Diners have been queuing up for the tasty pho here since Day 1. The chef learnt to cook in France, where his family had a Vietnamese restaurant, and has recreated the vibe of a little ramen shop in Tokyo here. He uses U.S. Angus beef and Danish pork and, for the noodles’ soup base, slow-cooks beef shank bone for more than 16 hours. On top of the signature raw beef variety, do order Vietnamese sausage, beef balls, tendon, or tripe.
","Bib Gourmand: good quality, good value cooking; Small Shop",www.thebrassspoon.com
Angeum,"55/17 Mu 7, Khlong Suan Phlu, Phra Nakhon Si Ayutthaya, 13000, Thailand",600 THB,"
The story of Vietnamese food in Ayutthaya started over 150 years ago with the Vietnamese community in Bang Sai District. It continues at this modern two-floor restaurant smartly decorated with wooden walls, colourful paintings and a stylish bar. The menu may be short but it’s packed with authentic Vietnamese dishes. The skilled chef prepares everything using fresh quality ingredients. The signature dish, Nem Nuong is a delight to assemble and eat.
",None,None
Tonkin Annam,"69 Maha Rat Road, Phra Borom Maha Ratchawang, Bangkok, 10200, Thailand",500 THB,"
This cosy two-storey restaurant in a converted Tha Tien shophouse offers authentic fare from the owners’ grandparents’ homeland of northern and central Vietnam. Dishes unavailable elsewhere in Bangkok are served alongside classics, including Pho Bò (beef noodle soup), Nem (spring rolls), Cha Tôm (grilled prawns on sugarcane skewers) and unmissable Nem Nuóng (grilled minced pork with herbs and rice paper). Seating is limited; advance booking is recommended.
",None,None
Saigon Recipe,"46/5 Soi Sukhumvit 49, Khlong Tan Nuea, Bangkok, 10110, Thailand",240-680 THB,"
With its canary-yellow walls, vintage posters and Indochinese décor, this place feels like a home in Saigon, if it was staffed by capable Vietnamese chefs. They carefully select ingredients, including rice wrappers and noodles from Vietnam, to create flavourful rice and noodle dishes, salads and rolls the owner might serve family and friends. Weekday lunches offer set menus that please even the time-pressed. Coffee fans should try the authentic Vietnamese brew.
",None,https://www.saigon-recipe.com/
Thien Duong,"116 Saladaeng Road, Si Lom, Bangkok, 10500, Thailand",800 THB,"
Thien Duong is a showcase of Vietnamese classical design; the antique artworks, mustard-coloured walls, rose-pink granite table tops, shiny black floor tiles and exposed ceiling are an interior design lover’s paradise. The menu too is an exhibition of authentic Vietnamese style and is presented by a chef with an eye for detail. The skewered minced prawns with sugarcane and grilled pork sausage are both nicely crafted, with juicy flavours and complex textures.
","Bib Gourmand: good quality, good value cooking",https://baandusitthani.com
Ăn Cơm,"2F, EAT PLAY WORKS, 5-4-16 Hiroo, Shibuya-ku, Tokyo, 150-0012, Japan","1,500-6,000 JPY","
Wanting to make Vietnamese cuisine more familiar, the owner-chef incorporates Japanese elements into his creations. The colourful papaya salad comes with sake lees dressing and the shrimp spring roll is made with shibazuke and served with ‘Shottsuru’ fish sauce from Akita. Pho comes in soup made from chicken bones and garnished with dried bonito shavings. Sake enhances the dishes, and the fusion of Vietnamese and Japanese elements keeps things interesting.
","Bib Gourmand: good quality, good value cooking",None
yoyonam,"5-66-4 Yoyogi, Shibuya-ku, Tokyo, 151-0053, Japan","1,500-6,000 JPY","
Vietnamese food culture has been influenced by French cuisine. The concept here is ‘Vietnamese in Paris’, and you can enjoy home-style Vietnamese dishes with natural wines. The standard dish is ‘Bánh Xèo’, featuring rice flour dough topped with plenty of salted pork, shrimp and seasonal vegetables, and grilled. Various herbs and spices are used while still allowing the natural flavours of the ingredients to shine through.
","Bib Gourmand: good quality, good value cooking",None
Ăn Ði,"3-42-12 Jingumae, Shibuya-ku, Tokyo, 150-0001, Japan","6,000-9,000 JPY","
The concept here is that of a place where you can enjoy modern Vietnamese cuisine and wine. There are a variety of Vietnamese dishes featuring an abundance of vegetables and herbs and incorporating Japanese elements, such as fresh shrimp spring rolls eaten with fish sauce and citrus sauce, and tea leaf salad with fermented Yame tea. The butter sauce, used in the set menu, shows off the chef’s background in French cuisine.
","Bib Gourmand: good quality, good value cooking",None
Vietnamonamour,"via A. Pestalozza 7, Milan, 20131, Italy",25-45 EUR,"
This restaurant would certainly have been appreciated by the French writer Marguerite Duras, who would have rediscovered the ambience of her native Vietnam here. If you’re not familiar with Vietnamese dishes, don’t be put off by the menu – everything will be clearly explained when you order and you’re sure to fall under the spell of this fascinating country.
",None,https://vietnamonamour.com/
Tiem an Huong Viet,"118 Nishioshikojicho, Nakagyo-ku, Kyoto, 604-0842, Japan","2,000-5,000 JPY","
The owner-chef fell head over heels for home-style Vietnamese cuisine while traveling through the country and taking a cooking course at Ho Chi Minh City on a whim. He takes particular pride in dishes with an Eastern flavour, featuring herbs and spices, such as green papaya salad, and soft shelled crab deep-fried in rice flour batter. He makes his pho Vietnamese-style, from the noodles on up. The Vietnamese-style interior was also arranged by him.
","Bib Gourmand: good quality, good value cooking",None
Phở 79,"9941 Hazard Ave., Garden Grove, 92844, USA",30 USD,"
If you are no stranger to the slurp, then Pho 79 is likely already on your circuit. After all, this place is an institution. Opened in the early 80s, it's widely considered to ladle some of the best and most praiseworthy pho in southern California.The simple interior is enlivened by a bright yellow wall adorned with numerous accolades. It's spartan but clean, and you're here for the pho, not the fashion show. Place your name on the clipboard by the front door and expect a wait. Once seated, peruse the extensive menu, which runs the gamut from egg noodle soups and goi cuon, to appetizers and desserts along with many varieties of the eponymous dish. You'll never go wrong with oxtail—it's the most popular with good reason.  
","Bib Gourmand: good quality, good value cooking",https://www.pho79.com/
Garlic & Chives by Kristin,"9892 Westminster Blvd., Ste.311, Garden Grove, 92844, USA",,"
Boasting two locations now, this spot is housed in the Mall of Fortune, which seems to be a suitably lofty name for such a local yet ornate treasure. Expect to be greeted by a line out the door, but inside, find a giant chandelier and clipboard with several names ahead of the free space to jot down your own. Don’t worry—that line moves quickly and you’ll be slurping up glass noodles in no time.Go with a group and order a feast as the menu, replete with regional specials, has much more to offer than one or two can possibly explore. Fresh, clean flavors are at the forefront of grilled pork spring rolls full of herbs, vermicelli and fried garnishes for irresistible crunch. Unsurprisingly, the soft tofu with garlic and chives is a hearty, well-loved signature.
","Bib Gourmand: good quality, good value cooking",https://www.garlicandchives.com/
LSXO,"21010 Pacific Coast Hwy., Huntington Beach, 92648, USA",44 USD,"
Across from beautiful Huntington Beach, find this not-so-secret speakeasy tucked inside its parent restaurant, Bluegold. But the difference is palpable—LSXO is a bit cooler, louder and has a more defined personality. A trio of house-made condiments tops each table, with umami-rich fish sauce in place of salt, spice-infused oil as your pepper and a bottle of hot sauce as your furnace. Experiment with all three on refreshing noodle dishes like banh tam bi twirled with shredded pork, pickled vegetables and coconut milk. Other tantalizing mains may reveal shaky shaky beef, drizzled with burnt-butter soy sauce and set over garlic-tomato fried rice.
Getting a seat here can be tough, but good food makes this so much more than just a scene.
","Bib Gourmand: good quality, good value cooking",https://www.dinebluegold.com/
Tamarine,"546 University Ave., Palo Alto, 94301, USA",75 USD,"
Tamarine has long been a Palo Alto standby for its refined take on Vietnamese food that doesn’t sacrifice authentic flavor. There’s nearly always a corporate lunch happening in the private dining room, and techies, families and couples alike fill the rest of its linen-topped tables.Family-style sharing of dishes is encouraged, which is good because deciding on just one entrée is nearly impossible. To start, make like the regulars and order one of the “Tamarine Taste” appetizer platters with a round of tropical fruit-infused cocktails. Then move on to the fresh shrimp spring rolls, full of bean sprouts and mint; the springy ginger-chili seitan with steamed coconut rice; and curried long beans, sautéed with fragrant makrut lime leaves and chili.
",None,https://tamarinerestaurant.com/
Đi Ăn Đi,"68 Greenpoint Ave., New York, 11222, USA",44-50 USD,"
Brought to you by Dennis Ngo, Kim Hoang and Tuan Bui, this Vietnamese bijou spot has been thriving as the cool kid on the block for  a while now. The façade and setting too have remained  unchanged—large white wood-framed windows and an inviting, evergreen patio. The menu further soothes the soul with well-known favorites, daily specials, and of course, an array of pho—also the star of the show. Wok-seared beef pho delights with tender sliced brisket, egg yolk, and rice noodles floating in an umami-packed bone broth. Couple this crispy goi ca (handrolls) or meaty mackerel with sweet chili jam for a serotonin-boosting spread. The three-course chef's menu on weekends; a fish feast; as well as a unique take on surf and turf also hit that proverbial spot.
",None,https://www.diandi.nyc/
Thái So´n,"89 Baxter St., New York, 10013, USA",25 USD,"
Thái So´n is by far the best of the bunch in this Vietnamese quarter of Chinatown. It’s neither massive nor fancy, but it’s bright, clean and perpetually in business. One peek at the specials on the walls (maybe golden-fried squid strewn with sea salt) will have you begging for a seat in the crammed room.Speedy servers scoot between groups of City Hall suits and Asian locals as they order the likes of cha gio, pork spring rolls with nuoc cham; or goi cuon, fantastic summer rolls filled with poached shrimp and vermicelli. Naturally, pho choices are abundant, but the real star of the show is pho tai—where raw beef shavings are cooked to tender perfection when combined with a scalding hot, savory broth replete with herbs, sprouts and chewy noodles.
",None,None
Van Đa,"234 E. 4th St., New York, 10009, USA",50-55 USD,"
Restaurateurs Yen Ngo and Chef Hannah Wong are the brains behind this fantastic and exciting offering in the East Village. Noting the deficiency in popular Vietnamese restaurants around town, the duo set out to offer the same nation's lesser-known specialties. With a mission to introduce city-dwellers to specialties that go beyond bahn mi and pho, this menu is divided into street food from different regions, including Hanoi, Hue, and Saigon—each sporting their own style. Standout dishes may include turmeric griddle cake with wild mushrooms and coconut custard; crisped, delightfully chewy mochi balls; and tapioca dumplings steamed in banana leaves.Round out your meal with a well-priced creative sip—a rarity in this craft cocktail-centric city.
","Bib Gourmand: good quality, good value cooking",https://www.vanda.nyc/
Bolero,"177 Bedford Ave., New York, 11211, USA",50 USD,"
This gem stands out for its keen understanding and delicious rendering of Vietnamese cuisine, which is rather rare in these parts. Shelves of market goodies lure passersby into the cool, contemporary space, fitted out with a central open kitchen, two vast dining areas, and a cozy backyard.The kitchen team straddles the line between subtle and savory with ease and creativity. Follow the example of a Vietnamese rice tamale filled with shrimp, chilies, and pork cracklings for a compelling bite. Fried shrimp toast with jackfruit, lime juice, and fennel fronds is a flavor bomb; while crêpes stuffed with maitake mushrooms and duck prosciutto are amplified by fish sauce. The lavish spread comes a full circle with sesame brittle atop sweet corn tapioca pudding.
","Bib Gourmand: good quality, good value cooking",https://bolero.nyc/
Bistro BT,"4267 Henderson Blvd., Tampa, 33629, USA",40-52 USD,"
This casual yet charming outpost arrives on the scene courtesy of celebrated local restaurateur, BT Nguyen. It is friendly and atmospheric with gracious servers merely augmenting the inviting feel. Over in the kitchen, the team cooks up a homey combination of French and Vietnamese dishes, ranging from beloved standbys to bolder bistro fare. The Vietnamese plates are a cut above, though, and include the likes of crispy spring rolls faithfully packed with ground pork, glass noodles and wood ear mushroom; followed by deeply aromatic pho bobbing with springy noodles and generous amounts of meltingly soft tenderloin.A handful of carefully curated wines along with a small assortment of thoughtfully crafted iced teas are sure to quench your thirst in style.
",None,https://www.bistro-bt.com/
Madame Ngo - Une Brasserie Hanoi,"Kantstraße 30, Berlin, 10623, Germany",30-49 EUR,"
It is definitely worth waiting for one of the coveted tables here! This charmingly informal restaurant is very popular due to its simple but excellent Vietnamese cuisine, which is also inexpensive. There is an enticing aroma from the bubbling pots in the open kitchen – a large bowl of authentic “pho” (noodle soup) is practically a must!
",None,https://madame-ngo.de/
Top Hatters Kitchen,"855 Macarthur Blvd., San Leandro, 94577, USA",60-75 USD,"
A stone’s throw from the 580 but seemingly a world apart, this handsome locale—ensconced in the arbored suburban quietude of San Leandro—offers a uniquely pleasurable experience. Husband-and-wife co-owners Matthew Beavers and DanVy Vu opted to honor this fixture’s former life as a family-owned hat shop by keeping the name—and the well-crafted cocktails are also dubbed with nods to millinery.Chef Vu leads the kitchen, and her skillful contemporary combination of Vietnamese and Californian flavors is tantalizing. Crunchy seared rice cakes come packed with savory goodness, and meltingly tender braised oxtail over creamy grits have unusual depth. For a pillow-soft landing, finish with the signature lemon-ricotta zeppole, offered with a trio of luscious sauces.
","Bib Gourmand: good quality, good value cooking",https://tophatterskitchen.com/
Funky Fisch,"Kantstraße 135, Berlin, 10625, Germany",35-75 EUR,"
Are you in the mood for fish of the uncomplicated and Asian-inspired variety? Then head to the trendy and lively Funky Fisch by The Duc Ngo. The centrepiece is the large fish counter, where you choose the fish you want to eat, which is then prepared in the open kitchen. A wide range of Asian food, from Chinese to Vietnamese, is served, with influences from all over the world.
",None,https://funky-fisch.de/
Dija Mara,"232 S. Coast Hwy., Oceanside, 92054, USA",60 USD,"
This industrial Indonesian eatery is every bit as easy-breezy as its Oceanside hometown—imagine cheeky murals, dim lighting and a roll-up garage door entrance. But lest you consider it a divey drinking hole, be advised you’ll find some serious cooking here. Excellent nasi goreng combines fried rice with shrimp, pork belly, chicken and the yolk of a sunny egg, while charred eggplant with smoked tomato sambal and crispy fried shallots is a textural (and flavor-forward) delight.All that spice is sure to put you in the mood for a drink, and their creative cocktails deliver, with unique low-ABV beverages showcasing house-fermented shrubs and other elixirs. On weekends, brunch is replete with inventive, crowd-pleasing eats, like a chili-lime mango tartine. 
","Bib Gourmand: good quality, good value cooking",https://dijamara.com/
