restaurant,dish,ingredients
thai-so'n,Combination Rice Noodle Beef Soup,"Rice noodles, beef"
thai-so'n,Combination Rice Noodles Beef Soup,"Rice noodles, beef"
thai-so'n,Combination Rice Noodles Beef Soup,"Rice noodles, beef"
thai-so'n,Combination Rice Noodles Beef Soup,"Rice noodles, beef"
thai-so'n,Combination Rice Noodles Beef Soup With Grilled,"Rice noodles, beef"
thai-so'n,Rice Noodles Beef Soup With Grill Chicken,"Rice noodles, beef, chicken"
thai-so'n,Combination Rice Noodles Beef Soup With Seafood,"Rice noodles, beef"
thai-so'n,Shrimp Noodles Beef Soup,"Shrimp, Noodles, Beef"
thai-so'n,,
thai-so'n,Vegetarian Noodles Soup,"Vegetarian, Noodles"
thai-so'n,Shredded Chicken Noodles Soup,"Chicken, Noodles"
thai-so'n,Stewed Beef Cubes And Tendon Noodles Soup,Beef Noodles
thai-so'n,Rice Noodles Soup With Beef In Satee Sauce,"Rice noodles, Beef, Satee Sauce"
thai-so'n,Sauteed Frog Legs,"Frog,Legs, chili, lemongrass"
thai-so'n,Delicate Battered And Gently Fried Soft Shell Crab,"Crab, scallion, onion"
thai-so'n,Sauteed Lobster,"Lobster, ginger, scallion"
thai-so'n,Live Tilapia Fish,Tilapia
thai-so'n,Grilled Ground Beef Wrapped In Grape Leaves,"Beef, Grape Leaves, rice, paper, green leaves, mint leaves, pickles, noodle"
thai-so'n,Grilled Pork,"Pork, noodle, lettuce, cucumbers, mint leaves"
thai-so'n,Grilled Beef Sesame Seasoned,"Beef, Sesame, noodle, lettuce, cucumber, mint leaves"
thai-so'n,Grilled Pork Hash,"Pork,vegetable, noodle"
thai-so'n,Grilled Shrimp,"Shrimp noodle, lettuce, cucumber, mint leaves"
thai-so'n,Barbecued Shrimp Roll On Sugar Cane,"Shrimp, Sugar cane, vegetable, noodle"
thai-so'n,Steamed Rice Crepe With Round Pork,"Rice, Crepe, Pork"
thai-so'n,Vietnamese Crepe With Shrimp And Pork,"Crepe, Shrimp, Pork"
thai-so'n,Curry Chicken With Bread,"Curry, Chicken, Bread"
thai-so'n,Stewed Beef Cubes With Bread,"Beef, Bread"
thai-so'n,Combination Of Seafood On Crispy Egg Noodle,"Seafood, Noodle"
thai-so'n,Combination Of Seafood Lo Mein,"Seafood, Lo Mein"
thai-so'n,Combination Of Seafood Chow Fun,"Seafood, Chow Fun"
thai-so'n,Beef And Vegetable Chow Fun,"Beef, Vegetable, Chow Fun"
thai-so'n,Grilled Pork With Lettuce On Rice Vermicelli,"Pork, Lettuce, Vermicelli"
thai-so'n,Spring Rolls With Lettuce On Rice Vermicelli,"Lettuce, Vermicelli"
thai-so'n,Spring Rolls And Grilled Pork With Lettuce On Rice Vermicelli,"Pork, Lettuce, Vermicelli"
thai-so'n,Grilled Beef With Sesame Seasoning And Lettuce On Rice Vermicelli,"Beef, Sesame, Lettuce, Vermicelli"
thai-so'n,Grilled Beef And Spring Roll With Sesame Seasoning Lettuce On Rice Vermicelli,"Beef, Sesame, Lettuce, Vermicelli"
thai-so'n,"Sauteed Sliced Beef With Lemongrass, Lettuce On Rice Vermicelli","Beef, Lemongrass, Lettuce, Vermicelli"
thai-so'n,Beef With Satee Sauce On Rice Vermicelli,"Beef, Vermicelli"
thai-so'n,Grilled Shrimp On Rice Vermicelli,"Shrimp, Vermicelli"
thai-so'n,Grilled Pork Hash With Rice Vermicelli,"Pork, Vermicelli"
thai-so'n,Fried Whole Fish Or Fried Whole Fish,Fish
thai-so'n,With lemongrass and hot pepper,"lemongrass, pepper"
thai-so'n,Barbecued Whole Fish,Fish
thai-so'n,Steamed Whole Fish,Fish
thai-so'n,Stirred Fried Squid,Squid
thai-so'n,With preserved vegetable in oyster sauce,"vegetable, oyster sauce"
thai-so'n,Squid Sauteed With Sweet And Sour Sauce,"Squid, Sweet and sour sauce"
thai-so'n,"Squid, Lemon Grass Onions, Green Peppers And Chili Sauce","Squid, Lemongrass, Onions, Green Peppers, Chili"
thai-so'n,Sauteed Squid With Mixed Vegetables,"Squid, Vegetables"
thai-so'n,"Shrimp With Little Salt, Green Pepper, Onions And Oyster Sauce","Shrimp, Salt, Green Pepper, Onions, Oyster Sauce"
thai-so'n,Shrimp Dressed,"Shrimp, salt, pepper, onions, butter"
thai-so'n,Sweet And Sour Jumbo Shrimp,Shrimp
thai-so'n,Shrimp With Ginger And Scallions,"Shrimp, Ginger, Scallions"
thai-so'n,Sauteed Shrimp With Lemongrass,"Shrimp, Lemongrass"
thai-so'n,Shrimp With Broccoli,"Shrimp, Broccoli"
thai-so'n,Sauteed Shrimp With Mixed Vegetables,"Shrimp, Vegetables"
thai-so'n,Jumbo Shrimp Steamed In Beer,"Shrimp, Beer"
thai-so'n,Beef With Broccoli In Oyster Sauce,"Beef, Broccoli, Oyster Sauce"
thai-so'n,Beef With Tomato,"Beef, Tomato"
thai-so'n,Beef With Preserved Vegetable In Oyster Sauce,"Beef, Vegetable, Oyster Sauce"
thai-so'n,Beef With Snow Peas In Special Sauce,"Beef, Snow Peas"
thai-so'n,"Beef Lemongrass, Green Pepper Onions With Chili Sauce","Beef, Lemongrass, Green Pepper, Onions, Chili"
thai-so'n,Beef With Sate Sauce And Onions,"Beef, Onions"
thai-so'n,Beef With Mixed Vegetables,"Beef, Vegetables"
thai-so'n,Marinated Beef Cubes Sauteed With Salad,Beef
thai-so'n,Vietnamese Steak With Salad,Steak
thai-so'n,Beef With Watercress In Oyster Sauce,"Beef, Watercress, Oyster,Sauce"
thai-so'n,Pork With Vegetable Or Broccoli In Oyster Sauce,"Pork, Broccoli, Oyster Sauce"
thai-so'n,Pork With Chinese Mushroom In Oyster Sauce,"Pork, Mushroom, Oyster Sauce"
thai-so'n,Pork Fried With Sweet And Sour Sauce,"Pork, Sweet Sour sauce"
thai-so'n,Barbecued Pork Chop,Pork
thai-so'n,Pork With Preserved Vegetable In Oyster Sauce,"Pork, vegetable, Oyster Sauce"
thai-so'n,Chicken With Broccoli,"Chicken, broccoli"
thai-so'n,Chicken With Curry Sauce,"Chicken, Curry sauce"
thai-so'n,"Chicken, Ginger And Scallions, Onions","Chicken, Ginger, Scallions, Onions"
thai-so'n,"Chicken Lemongrass, Green Pepper, Onion With Chili Sauce","Chicken, Lemongrass, Green Pepper, Onion, Chili"
thai-so'n,Chicken With Sate Sauce And Onions,"Chicken, Onions"
thai-so'n,Chicken With Mixed Vegetables,"Chicken, Vegetables"
thai-so'n,Chicken With Chinese Mushroom,"Chicken, Mushroom"
thai-so'n,Chicken With Black Chinese Mushroom,"Chicken, Mushroom"
thai-so'n,Barbecued Chicken,Chicken
thai-so'n,Sauteed Mixed Vegetable With Oyster Sauce,"Vegetables, oyster sauce"
thai-so'n,Sauteed Chinese Vegetables Wity Oyster Sauce,"Vegetables, oyster sauce"
thai-so'n,Mushroom With Soy Bean Cake In Oyster Sauce,"Mushroom, Soybean cake, Oyster sauce"
thai-so'n,Sauteed Chinese Mushroom With Vegetable,"Mushroom, Vegetable"
thai-so'n,Steamed Vegetable,"Steamed,Vegetable"
thai-so'n,Water Spinach With Garlic Sauce,"Spinach, Garlic"
thai-so'n,Salad Vietnamese Style,
thai-so'n,Sauteed Mixed Vegetables,Vegetables
thai-so'n,"Fried Soy Bean Cake With Lemongrass, Onion, Green Pepper And Chili Sauce","Soybean cake, Lemongrass, Onion, Green Pepper, Chili"
thai-so'n,Frog With Curry Sauce,"Frog, Curry Sauce"
thai-so'n,Chicken With Curry Sauce,"Chicken, Curry Sauce"
thai-so'n,Shrimp Dipped In Satee Sauce,"Shrimp, Satee Sauce"
thai-so'n,Caramel Fish,"Caramel, Fish"
thai-so'n,Caramel Pork,"Caramel, Pork"
thai-so'n,With Fried Rice Extra $1.75,
thai-so'n,"Beef Cubes With White Rice, Lettuce And Tomatoes","Beef, Rice, Lettuce, Tomatoes"
thai-so'n,Beef With Broccoli On White Rice,"Beef, Broccoli, Rice"
thai-so'n,Beef With Preserved Vegetable In Oyster Sauce On White Rice,"Beef, Vegetable, Oyster Sauce, Rice"
thai-so'n,"Beef, Lemongrass, Green Pepper, Onions On White Rice","Beef, Lemongrass, Green Pepper, Onions, Rice"
thai-so'n,Grilled Chicken With Rice,"Grilled, Chicken, Rice"
thai-so'n,Curry Chicken With Rice,"Curry, Chicken, Rice"
thai-so'n,Chicken And Broccoli On White Rice,"Chicken, Broccoli, Rice"
thai-so'n,"Chicken And Ginger Scallion, Onion On White Rice","Chicken, Ginger, Scallion, Onion, Rice"
thai-so'n,"Chicken Lemongrass, Green Pepper, Onions On White Rice","Chicken, Lemongrass, Green Pepper, Onions, Rice"
thai-so'n,"Squid Lemongrass, Green Pepper, Onions On White Rice","Squid, Lemongrass, Green Pepper, Onions, Rice"
thai-so'n,Shrimp Fried Rice,"Shrimp, Fried rice"
thai-so'n,Chicken Fried Rice,"Chicken, Fried rice"
thai-so'n,Ten Ingredients Fried Rice,Fried rice
thai-so'n,Vietnamese Steak With Fried Rice,"Steak, Fried rice"
thai-so'n,Grilled Pork Chop On White Rice,"Pork, Crab, Rice"
thai-so'n,Grilled Pork Chop And Shredded Pork On White Rice,"Pork, Crab, Rice"
thai-so'n,"Grilled Pork Chop, Shredded Pork And Crab Pattay On White Rice","Pork, Crab, Rice"
thai-so'n,Shrimp With Vegetable With White Rice,"Shrimp, Vegetable, Rice"
thai-so'n,Shrimp Dressed With Little On White Rice,"Shrimp, Rice"
thai-so'n,Seafood With Steamed Rice,"Seafood, Rice"
thai-so'n,Frog Legs In Chili And Lemongrass With White Rice,"Frog Legs, Chili, Lemongrass, Rice"
thai-so'n,Sautaeed Vegetables And Soy Bean Cake With White Rice,"Vegetables, Soybean Cake, Rice"
thai-so'n,Heineken - Tsing Tao,
thai-so'n,Bud - Bud Light,
thai-so'n,Beer 33 - Beer Saigon - Tiger,
thai-so'n,Rainbow Ice With Coconut Milk,Coconut Milk
thai-so'n,Seven Colors Rainbow Ice With Coconut Milk,Coconut Milk
thai-so'n,Sweet Mixed Nut Drink,
thai-so'n,Sweet Egg Custard,Egg Custard
thai-so'n,Green Tea,Tea
thai-so'n,Red Bean,Red Bean
thai-so'n,Vanilla,Vanilla
thai-so'n,Mango,Mango
thai-so'n,Lychee,Lychee
thai-so'n,Hot Or Cold Black Coffee,Coffee
thai-so'n,Hot Or Cold Coffee With Condensed Milk,"Coffee, Condensed Milk"
thai-so'n,Fresh Lemonade,Lemonade
thai-so'n,Fresh Soda Lemonade,"Soda, Lemonade"
thai-so'n,Salty Plum Soda,"Plum, Soda"
thai-so'n,Soda With Yolk And Condensed Milk,"Soda, Egg, Condensed Milk"
thai-so'n,Cold Tea With Fresh Lemonade,"Tea, Lemonade"
thai-so'n,Soda Chanh Muoi,"Soda, Chanh Muoi"
thai-so'n,Sweet Basil Seed,Basil Seed
thai-so'n,Hot Or Cold Tea With Condesened Milk,"Tea, Condesened Milk"
thai-so'n,Soy Bean Milk,Soybean milk
thai-so'n,Coconut Drink,Coconut
thai-so'n,Dried Longan In Syrup,Longan
thai-so'n,Coke,
thai-so'n,7 Up,
thai-so'n,Sunkist,
thai-so'n,Sprite,
thai-so'n,Nestea,
